Variable,Depth,CCCinflow,Clim_mean,Clim_median,Climate_mean_higherDOC
Temp,1,2.59,2.72,2.76,2.59
Temp,9,1.42,1.42,1.42,1.42
Temp,5,2.76,2.77,2.77,2.76
Temp,all,2.27,2.29,2.31,2.27
Oxy,1,56.6,59.6,57.1,56.6
Oxy,9,123.3,126.8,154.9,123.3
Oxy,5,89.6,89.4,88.8,89.62
Oxy,all,169.3,158.9,123.8,169.3
Nit_amm,1.6,0.8,0.8,0.8,0.8
Nit_amm,9,20.6,19.5,19.6,20.6
Nit_amm,5,8.4,8.3,8.3,8.4
Nit_amm,all,10.2,9.9,9.9,10.2
PHS_frp,1.6,0.044,0.049,0.048,0.044
PHS_frp,9,0.035,0.048,0.042,0.035
PHS_frp,5,0.033,0.041,0.037,0.033
PHS_frp,all,0.042,0.05,0.047,0.042
OGM_docr,1.6,69,93,91,69
OGM_docr,9,52,72,59,52
OGM_docr,5,57,74,63,57
OGM_docr,all,60,79,71,60.5
Chla,1,2.21,2.36,2.2,2.2